count,audio,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_25.thisRepN,trials_25.thisTrialN,trials_25.thisN,trials_25.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_26.thisRepN,trials_26.thisTrialN,trials_26.thisN,trials_26.thisIndex,story_list_block2,action_list_block2,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_76.started,text_76.stopped,text_77.started,text_77.stopped,startWait,endWait,image_23.started,image_23.stopped,text_55.started,text_55.stopped,text_56.started,text_56.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_82.started,text_82.stopped,text_57.started,text_57.stopped,key_resp_17.keys,key_resp_17.rt,key_resp_17.started,key_resp_17.stopped,text_83.started,text_83.stopped,text_60.started,text_60.stopped,image_2.started,image_2.stopped,text_58.started,text_58.stopped,key_resp_23.keys,key_resp_23.rt,key_resp_23.started,key_resp_23.stopped,text_62.started,text_62.stopped,key_resp_18.keys,key_resp_18.rt,key_resp_18.started,key_resp_18.stopped,text_84.started,text_84.stopped,question1_2.started,question1_2.stopped,question2_2.started,question2_2.stopped,question3_2.started,question3_2.stopped,question4_2.started,question4_2.stopped,question5_2.started,question5_2.stopped,question6_2.started,question6_2.stopped,image_15.started,image_15.stopped,key_resp.keys,key_resp.started,key_resp.stopped,text_59.started,text_59.stopped,key_resp_19.keys,key_resp_19.rt,key_resp_19.started,key_resp_19.stopped,text_85.started,text_85.stopped,text_61.started,text_61.stopped,image_17.started,image_17.stopped,text_63.started,text_63.stopped,key_resp_24.keys,key_resp_24.rt,key_resp_24.started,key_resp_24.stopped,text_64.started,text_64.stopped,key_resp_20.keys,key_resp_20.rt,key_resp_20.started,key_resp_20.stopped,storyImage_StartTime,storyImage_EndTime,clip_StartTime,clip_EndTime,text_67.started,text_67.stopped,text_68.started,text_68.stopped,participant,sA,sB,lA,lB,block_struct,play_stories,block,behavioral,random_seed,date,expName,psychopyVersion,frameRate,
0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[24 11 13 33 44],[2 1 3 3 2],14.08341254800010,None,equal,33.18539493499980,14.08341254800010,None,33.20318238600020,14.08341254800010,None,14.08341254800010,None,0.00037733599992861900,5.99676052399991,47.28334536700000,None,53.286977062000000,None,53.286977062000000,None,2,1.061917400999850,53.286977062000000,None,53.286977062000000,None,54.36733335500000,None,2,0.9715975150002120,54.36733335500000,None,54.36733335500000,None,55.38322975400020,None,55.38322975400020,None,55.38322975400020,None,2,1.0346005750002400,55.38322975400020,None,56.43366876600020,None,2,1.5601495050000300,56.43366876600020,None,56.43366876600020,None,58.09928944100010,None,58.09928944100010,None,58.09928944100010,None,58.09928944100010,None,58.09928944100010,None,58.09928944100010,None,58.09928944100010,None,None,58.09928944100010,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.36694759600010,None,1,0.9838794860002050,74.36694759600010,None,74.36694759600010,None,75.40004008600040,None,75.40004008600040,None,75.40004008600040,None,2,2.1119274040002000,75.40004008600040,None,,,,,,,,,,,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_1.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.55311975600030,None,2,1.3817820039998900,77.55311975600030,None,31.690753808999900,34.69686262800000,34.70460428999970,45.1383796099999,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_2.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.14068631300010,51.458527114999900,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_3.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.458940546999700,63.04718339500010,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_4.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.04748457300000,69.94353364800010,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_5.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.94387597700010,74.91047228999970,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_6.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.91083914699990,82.36288692900010,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_7.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.36318872799980,86.74155009399970,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_8.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.74197142899990,92.90015905799960,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_9.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.90051304300010,97.22962066299990,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_10.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22999356299990,100.96855903200000,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_11.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.9690775010000,111.08764626100000,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_12.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.087919823,120.1717161660000,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_13.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.17206768100000,124.13553791800000,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_14.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.135880885,131.530399837,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_15.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.5307466220000,138.10199795900000,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_16.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.1024009520000,145.26939106400000,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_17.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.2697295780000,151.26862355100000,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_18.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.26912827000000,159.73582712400000,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_19.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.73617248700000,169.3865400690000,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_20.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.38700222100000,173.87543814000000,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_21.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.8757888110000,181.90379415100000,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_22.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.90426252100000,192.48643527900000,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_23.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.48679881500000,202.68956093200000,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_24.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.689914951,209.2457303800000,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_25.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.24600999700000,217.96362997900000,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_26.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.9645322310000,224.52471122200000,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_27.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.52506049100000,230.69462666600000,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_28.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.6949806320000,235.2021312670000,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_29.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.2036482590000,241.48367892900000,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
0,parcelated_audio/24/24_30.ogg,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.48403403600000,247.74259457300000,,,,,110521,0,2,2,3,0,1,2,0,24,2021_Nov_05_1524,listening_fmri,3.2.4,59.79584681358680,
