instructText,count,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block1,action_list_block1,story_list_block2,action_list_block2,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_13.started,text_13.stopped,text_23.started,text_23.stopped,text_43.started,text_43.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_44.started,text_44.stopped,text_53.started,text_53.stopped,image_10.started,image_10.stopped,text_22.started,text_22.stopped,recall,question1_answer,order of question,text_14.started,text_14.stopped,text_15.started,text_15.stopped,image_6.started,image_6.stopped,polygon_3.started,polygon_3.stopped,bottom_line_3.started,bottom_line_3.stopped,right_line_3.started,right_line_3.stopped,left_line_3.started,left_line_3.stopped,question2_answer,text_16.started,text_16.stopped,text_17.started,text_17.stopped,image_7.started,image_7.stopped,polygon_4.started,polygon_4.stopped,bottom_line_4.started,bottom_line_4.stopped,right_line_4.started,right_line_4.stopped,left_line_4.started,left_line_4.stopped,question3_answer,text_18.started,text_18.stopped,text_19.started,text_19.stopped,image_8.started,image_8.stopped,polygon_5.started,polygon_5.stopped,bottom_line_5.started,bottom_line_5.stopped,right_line_5.started,right_line_5.stopped,left_line_5.started,left_line_5.stopped,question4_answer,text_20.started,text_20.stopped,text_21.started,text_21.stopped,image_9.started,image_9.stopped,polygon_6.started,polygon_6.stopped,bottom_line_6.started,bottom_line_6.stopped,right_line_6.started,right_line_6.stopped,left_line_6.started,left_line_6.stopped,question5_answer,text_25.started,text_25.stopped,text_26.started,text_26.stopped,image_11.started,image_11.stopped,polygon_7.started,polygon_7.stopped,bottom_line_7.started,bottom_line_7.stopped,right_line_7.started,right_line_7.stopped,left_line_7.started,left_line_7.stopped,question6_answer,text_27.started,text_27.stopped,text_28.started,text_28.stopped,image_12.started,image_12.stopped,polygon_8.started,polygon_8.stopped,bottom_line_8.started,bottom_line_8.stopped,right_line_8.started,right_line_8.stopped,left_line_8.started,left_line_8.stopped,question7_answer,text_29.started,text_29.stopped,text_30.started,text_30.stopped,image_13.started,image_13.stopped,polygon_9.started,polygon_9.stopped,bottom_line_9.started,bottom_line_9.stopped,right_line_9.started,right_line_9.stopped,left_line_9.started,left_line_9.stopped,question8_answer,text_31.started,text_31.stopped,text_32.started,text_32.stopped,image_14.started,image_14.stopped,polygon_10.started,polygon_10.stopped,bottom_line_10.started,bottom_line_10.stopped,right_line_10.started,right_line_10.stopped,left_line_10.started,left_line_10.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,random_seed,date,expName,psychopyVersion,frameRate,
"In the final part of the experiment, please answer 8 questions about each story.",,0,0,0,0,,,,,,,,,,,,,[23 43 32 21 14 12 41 34],[4 1 2 2 1 3 3 4],[22 44 13 31 33 42 11 24],[2 1 1 2 4 3 3 4],space,4.74958508599957,6.576191586000277,None,6.576191586000277,None,6.576191586000277,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110621,0,3,0,1,0,26,2021_Nov_06_1234,short_answer,3.2.4,60.07633948489322,
"We did not tell you to think of all or some of these questions during the story, but please do your best to answer them.",,0,1,1,1,,,,,,,,,,,,,,,,,space,10.696135887001219,11.375836320999952,None,11.375836320999952,None,11.375836320999952,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110621,0,3,0,1,0,26,2021_Nov_06_1234,short_answer,3.2.4,60.07633948489322,
"Answer as much as you remember, and be specific and concrete in your answers. It is best to try to be as faithful as possible to what the story actually said.
",,0,2,2,2,,,,,,,,,,,,,,,,,space,8.404581454000436,22.10874060199967,None,22.10874060199967,None,22.10874060199967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110621,0,3,0,1,0,26,2021_Nov_06_1234,short_answer,3.2.4,60.07633948489322,
"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,0,3,3,3,,,,,,,,,,,,,,,,,space,5.417058502000145,30.559148251000806,None,30.559148251000806,None,30.559148251000806,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110621,0,3,0,1,0,26,2021_Nov_06_1234,short_answer,3.2.4,60.07633948489322,
,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,36.02513387399995,None,space,10.699016573000335,36.02513387399995,None,36.02513387399995,None,36.02513387399995,None,46.811004606001006,None,46.811004606001006,None,,,"[1, 2]",54.926533634001316,None,54.926533634001316,None,54.926533634001316,None,54.926533634001316,None,54.926533634001316,None,54.926533634001316,None,54.926533634001316,None,5 red ,62.82649819300059,None,62.82649819300059,None,62.82649819300059,None,62.82649819300059,None,62.82649819300059,None,62.82649819300059,None,62.82649819300059,None,,72.02584340900103,None,72.02584340900103,None,72.02584340900103,None,72.02584340900103,None,72.02584340900103,None,72.02584340900103,None,72.02584340900103,None,Family,79.25953177700103,None,79.25953177700103,None,79.25953177700103,None,79.25953177700103,None,79.25953177700103,None,79.25953177700103,None,79.25953177700103,None,Thanksgiving related posters everywhere,93.80944124500093,None,93.80944124500093,None,93.80944124500093,None,93.80944124500093,None,93.80944124500093,None,93.80944124500093,None,93.80944124500093,None,Thanksgiving related food,105.70879931899981,None,105.70879931899981,None,105.70879931899981,None,105.70879931899981,None,105.70879931899981,None,105.70879931899981,None,105.70879931899981,None,,113.72548939999979,None,113.72548939999979,None,113.72548939999979,None,113.72548939999979,None,113.72548939999979,None,113.72548939999979,None,113.72548939999979,None,,121.99222087599992,None,121.99222087599992,None,121.99222087599992,None,121.99222087599992,None,121.99222087599992,None,121.99222087599992,None,121.99222087599992,None,,,110621,0,3,0,1,0,26,2021_Nov_06_1234,short_answer,3.2.4,60.07633948489322,
,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110621,0,3,0,1,0,26,2021_Nov_06_1234,short_answer,3.2.4,60.07633948489322,
,1,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,128.60863418500048,None,space,1.400988798999606,128.60863418500048,None,128.60863418500048,None,128.60863418500048,None,130.0579167570013,None,130.0579167570013,None,4pm,,"[2, 1]",132.45838567900137,None,132.45838567900137,None,132.45838567900137,None,132.45838567900137,None,132.45838567900137,None,132.45838567900137,None,132.45838567900137,None,Meat,141.12488432900136,None,141.12488432900136,None,141.12488432900136,None,141.12488432900136,None,141.12488432900136,None,141.12488432900136,None,141.12488432900136,None,,144.6415752539997,None,144.6415752539997,None,144.6415752539997,None,144.6415752539997,None,144.6415752539997,None,144.6415752539997,None,144.6415752539997,None,52 dollars and cash,148.29150184300124,None,148.29150184300124,None,148.29150184300124,None,148.29150184300124,None,148.29150184300124,None,148.29150184300124,None,148.29150184300124,None,Pack of meat,158.87480408100055,None,158.87480408100055,None,158.87480408100055,None,158.87480408100055,None,158.87480408100055,None,158.87480408100055,None,158.87480408100055,None,Recommendation of meat,171.2248890840001,None,171.2248890840001,None,171.2248890840001,None,171.2248890840001,None,171.2248890840001,None,171.2248890840001,None,171.2248890840001,None,After their bbq party to have a date,179.97429139000087,None,179.97429139000087,None,179.97429139000087,None,179.97429139000087,None,179.97429139000087,None,179.97429139000087,None,179.97429139000087,None,4pm,194.807404864001,None,194.807404864001,None,194.807404864001,None,194.807404864001,None,194.807404864001,None,194.807404864001,None,194.807404864001,None,,,110621,0,3,0,1,0,26,2021_Nov_06_1234,short_answer,3.2.4,60.07633948489322,
,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110621,0,3,0,1,0,26,2021_Nov_06_1234,short_answer,3.2.4,60.07633948489322,
,2,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,197.22345615400081,None,space,0.8526288930006558,197.22345615400081,None,197.22345615400081,None,197.22345615400081,None,198.12377953800024,None,198.12377953800024,None,Handshake,1 hour and 15 minutes,"[2, 1]",198.97453347200099,None,198.97453347200099,None,198.97453347200099,None,198.97453347200099,None,198.97453347200099,None,198.97453347200099,None,198.97453347200099,None,,205.85785402700094,None,205.85785402700094,None,205.85785402700094,None,205.85785402700094,None,205.85785402700094,None,205.85785402700094,None,205.85785402700094,None,2,220.34065923799972,None,220.34065923799972,None,220.34065923799972,None,220.34065923799972,None,220.34065923799972,None,220.34065923799972,None,220.34065923799972,None,Business 1 or 2 a or b,223.02292415800002,None,223.02292415800002,None,223.02292415800002,None,223.02292415800002,None,223.02292415800002,None,223.02292415800002,None,223.02292415800002,None,Something related to wine,232.50712652400034,None,232.50712652400034,None,232.50712652400034,None,232.50712652400034,None,232.50712652400034,None,232.50712652400034,None,232.50712652400034,None,,239.32339993500136,None,239.32339993500136,None,239.32339993500136,None,239.32339993500136,None,239.32339993500136,None,239.32339993500136,None,239.32339993500136,None,,241.57363153400001,None,241.57363153400001,None,241.57363153400001,None,241.57363153400001,None,241.57363153400001,None,241.57363153400001,None,241.57363153400001,None,Handshake,243.74072554400118,None,243.74072554400118,None,243.74072554400118,None,243.74072554400118,None,243.74072554400118,None,243.74072554400118,None,243.74072554400118,None,,,110621,0,3,0,1,0,26,2021_Nov_06_1234,short_answer,3.2.4,60.07633948489322,
,2,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110621,0,3,0,1,0,26,2021_Nov_06_1234,short_answer,3.2.4,60.07633948489322,
,3,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,250.307058796001,None,space,0.7194064039995283,250.307058796001,None,250.307058796001,None,250.307058796001,None,251.07351113200093,None,251.07351113200093,None,Family,"Fancy looking with many windows and high ceiling, and they are seated next to a window","[2, 1]",251.89052708500094,None,251.89052708500094,None,251.89052708500094,None,251.89052708500094,None,251.89052708500094,None,251.89052708500094,None,251.89052708500094,None,Seafood related things,271.1568302530013,None,271.1568302530013,None,271.1568302530013,None,271.1568302530013,None,271.1568302530013,None,271.1568302530013,None,271.1568302530013,None,Senna orders oysters and alvira orders seafood related,275.9066201700007,None,275.9066201700007,None,275.9066201700007,None,275.9066201700007,None,275.9066201700007,None,275.9066201700007,None,275.9066201700007,None,They like it,289.1402419260012,None,289.1402419260012,None,289.1402419260012,None,289.1402419260012,None,289.1402419260012,None,289.1402419260012,None,289.1402419260012,None,,291.57240777300103,None,291.57240777300103,None,291.57240777300103,None,291.57240777300103,None,291.57240777300103,None,291.57240777300103,None,291.57240777300103,None,5 red,296.48998769300124,None,296.48998769300124,None,296.48998769300124,None,296.48998769300124,None,296.48998769300124,None,296.48998769300124,None,296.48998769300124,None,,298.72265616200093,None,298.72265616200093,None,298.72265616200093,None,298.72265616200093,None,298.72265616200093,None,298.72265616200093,None,298.72265616200093,None,Family,301.22325640500094,None,301.22325640500094,None,301.22325640500094,None,301.22325640500094,None,301.22325640500094,None,301.22325640500094,None,301.22325640500094,None,,,110621,0,3,0,1,0,26,2021_Nov_06_1234,short_answer,3.2.4,60.07633948489322,
,3,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110621,0,3,0,1,0,26,2021_Nov_06_1234,short_answer,3.2.4,60.07633948489322,
,4,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,304.93949903199973,None,space,0.65124823899896,304.93949903199973,None,304.93949903199973,None,304.93949903199973,None,305.6393024780009,None,305.6393024780009,None,Either friday or the next week,1 week,"[1, 2]",306.47309311699973,None,306.47309311699973,None,306.47309311699973,None,306.47309311699973,None,306.47309311699973,None,306.47309311699973,None,306.47309311699973,None,Studying abroad and wanting to fully immerse in the study abroad experience and a relationship can hinder that,309.757153038001,None,309.757153038001,None,309.757153038001,None,309.757153038001,None,309.757153038001,None,309.757153038001,None,309.757153038001,None,"Henry initially does not want to break up, and says that they can make things work, but maria stands her ground and says it would be the best decision to break up because she doesnt want to do long distance and henry agrees and says whatever she wants to do would be best",330.33980266599974,None,330.33980266599974,None,330.33980266599974,None,330.33980266599974,None,330.33980266599974,None,330.33980266599974,None,330.33980266599974,None,Maria wants her alpaca sweatshirt or sweater back,400.5884994870012,None,400.5884994870012,None,400.5884994870012,None,400.5884994870012,None,400.5884994870012,None,400.5884994870012,None,400.5884994870012,None,Big ,409.6382753100006,None,409.6382753100006,None,409.6382753100006,None,409.6382753100006,None,409.6382753100006,None,409.6382753100006,None,409.6382753100006,None,Philosophy and about aristotle,418.4216782120002,None,418.4216782120002,None,418.4216782120002,None,418.4216782120002,None,418.4216782120002,None,418.4216782120002,None,418.4216782120002,None,About aristotle,426.55518195700097,None,426.55518195700097,None,426.55518195700097,None,426.55518195700097,None,426.55518195700097,None,426.55518195700097,None,426.55518195700097,None,Either friday or the next week,435.854663084001,None,435.854663084001,None,435.854663084001,None,435.854663084001,None,435.854663084001,None,435.854663084001,None,435.854663084001,None,,,110621,0,3,0,1,0,26,2021_Nov_06_1234,short_answer,3.2.4,60.07633948489322,
